,sentence1,sentence2,score
1317,"리비아의 벤가지에 있는 스웨덴 영사관에 차량 폭탄, 사상자 없음","벤가지에 있는 스웨덴 영사관에 차량 폭탄 공격, 부상자 없음",5.0
1319,크로아티아는 역사적인 EU 가입 초읽기를 시작한다.,크로아티아의 유럽연합 가입 초읽기,4.8
1321,전쟁 범죄자와 영웅에 관한 : 아리엘 샤론ŕä 을 화이트 워싱,전쟁 범죄자와 영웅에 관한 : 아리엘 샤론을 화이트 워싱,5.0
1322,"로저스, 비디오트론이 네트워크 공유 거래로 범위 확장","로저스, 비디오트론이 네트워크 공유와 스펙트럼 거래에 도달",4.8
1323,말레이시아 비행기 추락 사고로 저명한 에이즈 연구진 사망,말레이시아 비행기 추락 사고로 최고 에이즈 연구원 사망,5.0
1326,긴장 속에 우크라이나 수도에서 시위가 계속되고 있다.,우크라이나 수도에서 시위가 계속되고 있다.,5.0
1327,말리 납치 후 두 명의 프랑스 언론인이 살해되었다.,두 명의 프랑스 언론인이 납치되어 말리 북부에서 살해되었다.,4.6
1333,북극곰 DNA '비만 퇴치에 도움이 될 수 있다',북극곰 연구는 비만과의 전쟁을 촉진시킬 수 있다.,4.8
1334,"분노의 질주' 스타, 폴 워커가 자동차 충돌로 사망","폴 워커 사망: '분노의 질주' 스타, 40세, 자동차 충돌로 사망",4.8
1337,강한 새로운 지진이 산산조각 난 파키스탄 지역을 강타,산산조각 난 파키스탄에 6.8 지진,4.4
1338,중부 유럽의 홍수는 계속해서 대혼란을 일으키고 있다.,유럽 홍수는 계속해서 대혼란을 일으키고 있다.,4.6
1343,2020 경기를 개최하는 도쿄,"도쿄, 2020 올림픽 개최 경쟁에서 우승",4.8
1344,프랑스는 이집트 폭력으로 이득을 보는 극단 주의자들에 대해 경고한다.,프랑스는 극단 주의자들이 이집트 폭력으로부터 이익을 얻을 것을 우려한다.,4.4
1345,마갈루프 호텔에서 떨어져 살해된 영국 십 대,마갈루프 호텔 추락으로 살해된 영국 십 대,5.0
1347,가택연금 중인 러시아 야당 지도자,가택연금 상태에 놓인 러시아 야당 지도자,5.0
1348,상원은 자넷 옐런이 미국 연방준비제도이사회 의장임을 확인했다.,"상원, 자넷 옐런을 차기 연방 예비 의장으로 확정",5.0
1349,"이스라엘, 시리아 표적 무기 공격 확인",이스라엘 공식 발표: 시리아 표적 무기에 대한 공격,5.0
1350,배심원들은 조디 아리아스가 사형 대상이 된다고 생각한다.,조디 아리아스는 사형 대상이 된다고 배심원은 말한다.,5.0
1354,Mt Gox는 20만 개의 '잊혀진' 비트코인을 밝힌다.,Mt Gox는 20만 개의 '잊혀진' 비트코인을 발견한다.,5.0
1361,애비는 세금 변경 후 550억 달러 샤이어 거래에 관심을 잃는다.,애비는 미국 세금 변경 후 550억 달러 샤이어 거래에 관심이 식는다.,5.0
